"CandidateID","FullName","BallotName","ElectoralDistrict","Sex","DataQuality","LastUpdated"
"259 ","The winds of Abdullah Karim Al-Khazaali's dryn- ess","National Depth Allia- nce",,"Male","NEEDS_REVIEW","2025-10-15 10:25:05"
"207 ","Abdul Amir Hassan Ali Taiban the wo- rld","Reconstruction and Development Coali- tion",,"Male","OK","2025-10-15 10:25:05"
"271 ","Ali Hasiran is jealous of Attiyah Al- Jaari.","Services Alliance",,"Male","NEEDS_REVIEW","2025-10-15 10:25:05"
"262 ","Amir Nafi Ghanem Abdul Hamza Alz- alzalıi","Diwaniyah Flame",,"Male","OK","2025-10-15 10:25:05"
"269 ","Eithar Ahmed Mohammed Alwan Al- Abbasi","National res- olution",,"   female
 ","OK","2025-10-15 10:25:05"
"314 ","Emmanuel Khoshaba Youkhana Budakh Al- Qudani","Emmanuel Khoshaba Youkhana Al- Qudani",,"Male","OK","2025-10-15 10:25:05"
"222 ","Gharib Ahmed Mustafa Am- iran","Patriotic Union of Kurdistan",,"Male","OK","2025-10-15 10:25:05"
"245 ","Great, kind, generous, kind, kind, kind, kind","Canon's secr- ets",,"Male","NEEDS_REVIEW","2025-10-15 10:25:05"
"202 ","Hussam Fahd Sarrar, a young man from Sham Al-Badri","Sadiqun Movement",,"Male","NEEDS_REVIEW","2025-10-15 10:25:05"
"255 ","In the name of Muhammad Salumi Hamad Al- Aqidi","Progress Party",,"Male","OK","2025-10-15 10:25:05"
"289 ","Meeting with Ali Jaber Ha- ddad","State Support Bloc",,"   female
 ","OK","2025-10-15 10:25:05"
"255 ","Mohamed Hassan Ali Mahmoud Kh- odhod","Progress Party",,"Male","OK","2025-10-15 10:25:05"
"250 ","Muthanna Ayed Hassan Ibrahim Al- Samarani","Alternative Allia- nce",,"   female
 ","OK","2025-10-15 10:25:05"
"216 ","Sarkot Mohammed Mohammed Amir N. Sarr Yif","Kurdistan Democratic Party",,"Male","OK","2025-10-15 10:25:05"
"221 ","Abdul Razak's Khuzhan Faraz Al- Mutaunary","National Sovereignty Alliance - Le- gislation",,"Male","OK","2025-10-15 10:25:05"
"211 ","Abdullah Fatji Muhammad Ha- sirn","National identity",,"Male","OK","2025-10-15 10:25:05"
"255 ","Abdulrahman Hani Bashir Daoud Al- Dabbagh","Progress Party",,"Male","OK","2025-10-15 10:25:05"
"250 ","Ahmed Fayez Younis Fazaa Al- Hamdani","Alternative Allia- nce",,"Male","OK","2025-10-15 10:25:05"
"207 ","Anwar Jafar Mohammad Javad Moh- ammad Hasiran","Reconstruction and Development Coali- tion",,"Male","OK","2025-10-15 10:25:05"
"255 ","Ayad Mohammed Daboun Hasir N Al-Azzawi","Progress Party",,"Male","OK","2025-10-15 10:25:05"
"275 ","Cavern Saeed Mohammed Ahmed Mazuri","Kurdistan Democratic Pa- rner",,"   female
 ","OK","2025-10-15 10:25:05"
"250 ","Dawood Salman Mohsen Ghanem Al-Kaathi","Alternative Allia- nce",,"Male","OK","2025-10-15 10:25:05"
"275 ","Dear brother-in-law, Kore Khan Harki","Kurdistan Democratic Pa- rner",,"Male","OK","2025-10-15 10:25:05"
"244 ","Don't you feel sorry for my beloved who asked me to leave?","Al-Arafri Foun- dation Coalition",,"   female
 ","OK","2025-10-15 10:25:05"
"252 ","Duraid Abdul Bafri Nasser Hamza Al-Miyaji","Design Alliance",,"Male","OK","2025-10-15 10:25:05"
