رقم الاقتراع الحزب,الحزب,رقم الاقتراع للمرشح,ا نوع الترشيح,الدائرة الانتخابية,الجنس,إسم المرشح الكامل,الرقم
216,الحزب الاشيراكي الديمقراطي الكوردستانني,1,الترشيح,,ذكر,شيركومحمد اسماعيل بابكرحسيرن,1
216,الحزب الاشيراكي الديمقراطي الكوردستانني,2,حزب,اربيل,ذكر,عباس محمد عبدالكريم عبدالله مجيد,2
216,الحزب الاشيراكي الديمقراطي الكوردستانني,3,حزب,اربيل,ذكر,هاكاركاويس صديق مصطفن غيدان,3
216,الحزب الاشيراكي الديمقراطي الكوردستانني,4,حزب,اربيل,انثى,لينا رسولكريم عزيزحسيرن,4
222,یەکێتی نیشتمانی کوردستان,1,حزب,اربيل,ذكر,هه رێمكمال خورشيد عوثمان,5
222,یەکێتی نیشتمانی کوردستان,2,حزب,اربيل,ذكر,محمد جهاد قادررشید,6
222,یەکێتی نیشتمانی کوردستان,3,حزب,اربيل,انثى,فينك شفيق حمداميرن شفیق,7
222,یەکێتی نیشتمانی کوردستان,4,حزب,اربيل,ذكر,كاروان قادر حمد قادر,8
222,یەکێتی نیشتمانی کوردستان,5,حزب,اربيل,ذكر,خليل عثمان حمداميرن رسول,9
222,یەکێتی نیشتمانی کوردستان,6,حزب,اربيل,انثى,خوشناوv روا ياسيرن سعيد جوامير,10
222,یەکێتی نیشتمانی کوردستان,7,حزب,اربيل,ذكر,سامان فتاح حسن رشید,11
222,یەکێتی نیشتمانی کوردستان,8,حزب,اربيل,ذكر,اميرزيد عمرخضناغا,12
222,یەکێتی نیشتمانی کوردستان,9,حزب,اربيل,انثى,نارين محمد شيخه حسيرن,13
222,یەکێتی نیشتمانی کوردستان,10,حزب,اربيل,ذكر,شكوربكرطاهربکر,14
222,یەکێتی نیشتمانی کوردستان,11,حزب,اربيل,ذكر,محمود محمد يونس محمود,15
222,یەکێتی نیشتمانی کوردستان,12,حزب,اربيل,انثى,فهيمه صابرحمد حموک,16
222,یەکێتی نیشتمانی کوردستان,13,حزب,اربيل,انثى,ژيان عبدالله اسماعيل مستەفا,17
222,یەکێتی نیشتمانی کوردستان,14,حزب,اربيل,ذكر,سرورحسن محمد حسن,18
222,یەکێتی نیشتمانی کوردستان,15,حزب,اربيل,انثى,هه ريارجميل صالح عزیز,19
222,یەکێتی نیشتمانی کوردستان,16,حزب,اربيل,ذكر,هاوارحسن قادرحسيرن,20
222,یەکێتی نیشتمانی کوردستان,17,حزب,اربيل,ذكر,قاره مان نجاة حمد صالح,21
222,یەکێتی نیشتمانی کوردستان,18,حزب,اربيل,انثى,نوروزحميد حسيرن طه,22
222,یەکێتی نیشتمانی کوردستان,19,حزب,اربيل,ذكر,سعيد محمد سعيد سيدة,23
222,یەکێتی نیشتمانی کوردستان,20,حزب,اربيل,ذكر,سردار عثمان حمداميرن قادر,24
222,یەکێتی نیشتمانی کوردستان,21,حزب,اربيل,انثى,رسول محمد. چنارحجي,25
222,یەکێتی نیشتمانی کوردستان,22,حزب,اربيل,ذكر,نه بزمجيد اميرن ففر طه,26
222,یەکێتی نیشتمانی کوردستان,23,حزب,اربيل,ذكر,خالدكمال مج الدين اسعد,27
222,یەکێتی نیشتمانی کوردستان,24,حزب,اربيل,انثى,هيماكارزان مصطفن عثمان,28
222,یەکێتی نیشتمانی کوردستان,25,حزب,اربيل,انثى,بخشانكمال صالح حضن,29
222,یەکێتی نیشتمانی کوردستان,26,حزب,اربيل,ذكر,ايوب انورحمد قادر,30
222,یەکێتی نیشتمانی کوردستان,27,حزب,اربيل,انثى,رۆژگارسعدى خليل سلیمان,31
222,یەکێتی نیشتمانی کوردستان,28,حزب,اربيل,ذكر,ئارازجلال محمود صالح برادۆسثر,32
