A,Name on ballot,"Candidate

Sequence",Unnamed: 3,"   Type
      Nominat-
            ion","Electoral
district",Unnamed: 6,Sex,Candidate's full name,Voter number
216,Kurdistan Democratic Party,1 ,,Party,Erbil,,Male,"Share Komohammed Ismail Babiker Hasir
N",1
216,Kurdistan Democratic Party,2 ,,Party,Erbil,,Male,Abbas Mohammed Abdul Karim Abdullah Majeed,2
216,Kurdistan Democratic Party,3 ,,Party,Erbil,,Male,"Hakarkawis, Mustafa Ghaidan's friend",3
216,Kurdistan Democratic Party,4 ,,Party,Erbil,,"female
 ",Lina Rasool Karim Aziz Hasir N,4
222,Patriotic Union of Kurdistan,1 ,,Party,Erbil,,Male,Harem Kamal Khurshid Osman,5
222,Patriotic Union of Kurdistan,2 ,,Party,Erbil,,Male,Mohammad Jihad Qader Rashid,6
222,Patriotic Union of Kurdistan,3 ,,Party,Erbil,,"female
 "," Shafiq Hamadamir N Sha-
fiq?",7
222,Patriotic Union of Kurdistan,4 ,,Party,Erbil,,Male,Qadir Caravan Hamad Qadir,8
222,Patriotic Union of Kurdistan,5 ,,Party,Erbil,,Male,"Khalil Othman Hamad Amir N Ra-
sool",9
222,Patriotic Union of Kurdistan,6 ,,Party,Erbil,,"female
 ",Rawya Yasser N Saeed Jawamir Khosh-naw,10
222,Patriotic Union of Kurdistan,7 ,,Party,Erbil,,Male,Saman Fattah Hassan Rashid,11
222,Patriotic Union of Kurdistan,8 ,,Party,Erbil,,Male,Amirzaid Omar Khadnagha,12
222,Patriotic Union of Kurdistan,9 ,,Party,Erbil,,"female
 ",Narin Mohammed Sheiukha Hasirn ,13
222,Patriotic Union of Kurdistan,10 ,,Party,Erbil,,Male,Shakur Bakr Taher Bakr,14
222,Patriotic Union of Kurdistan,11 ,,Party,Erbil,,Male,Mahmoud Mohammed Younis Mahmoud,15
222,Patriotic Union of Kurdistan,12 ,,Party,Erbil,,"female
 ",Fahimeh Saber Hamouk,16
222,Patriotic Union of Kurdistan,13 ,,Party,Erbil,,"female
 ",Life Abdullah Ismail Mustafa,17
222,Patriotic Union of Kurdistan,14 ,,Party,Erbil,,Male,Sir Hassan Mohammad Hassan,18
222,Patriotic Union of Kurdistan,15 ,,Party,Erbil,,"female
 ","Dear Riar Jamil Saleh,",19
222,Patriotic Union of Kurdistan,16 ,,Party,Erbil,,Male,Hawar Hassan Qader Hassir,20
222,Patriotic Union of Kurdistan,17 ,,Party,Erbil,,Male,Continent Man Najat Hamad Saleh,21
222,Patriotic Union of Kurdistan,18 ,,Party,Erbil,,"female
 ",Nowruz Hamid Hasir Taha,22
222,Patriotic Union of Kurdistan,19 ,,Party,Erbil,,Male,Saeed Mohammed Saeed Sayyida,23
222,Patriotic Union of Kurdistan,20 ,,Party,Erbil,,Male,Sardar Osman Hamdamirin Qadir,24
222,Patriotic Union of Kurdistan,21 ,,Party,Erbil,,"female
 ",Chenar Haji Rasool Mohammad,25
222,Patriotic Union of Kurdistan,22 ,,Party,Erbil,,Male,"No, I'm not a fan of Taha.",26
222,Patriotic Union of Kurdistan,23 ,,Party,Erbil,,Male,Khaled Kamal Majd Al-Din Asaad,27
222,Patriotic Union of Kurdistan, 24 ,,Party,Erbil,,"   female
 "," Himakarzan Mustafa Os-
                 man",28
222,Patriotic Union of Kurdistan, 25 ,,Party,Erbil,,"   female
 ", Bakhshan Kamal Saleh Hadn,29
222,Patriotic Union of Kurdistan, 26 ,,Party,Erbil,,Male,    Ayub Anwar Hamad Qader,30
222,Patriotic Union of Kurdistan, 27 ,,Party,Erbil,,"   female
 ",     Rojgar Saadi Khalil Sulaiman,31
222,Patriotic Union of Kurdistan, 28 ,,Party,Erbil,,Male,     Araz Jalal Mahmoud Saleh Bradosthar,32
222,Patriotic Union of Kurdistan, 29 ,,Party,Erbil,,Male,Karukh Abdulrahim aziz omar ,33
222,"    Patriotic Union of Kurdistan
             N                     R", 30 ,,Party,Erbil,,"   female
 ", Sazgar Dilshad Shafiq Nader,34
225,,1 ,,Party,Erbil,,Male,        Ali  Hama Saleh Taha Muhammad,35
225,Stand Group ,2 ,,Party,Erbil,,Male,Diyar Saleh Hamid Saleh Al-Muftari,36
225,Stand Group ,3 ,,Party,Erbil,,Male,"Hey Adam, please don't be afr-
aid.",37
225,Stand Group ,4 ,,Party,Erbil,,"   female
 ","Nadia Ziad Mohammed Sarr Yif
in a dress",38
225,Stand Group ,5 ,,Party,Erbil,,Male,Hiva Hadi Nader Ghader,39
225,Stand Group ,6 ,,Party,Erbil,,Male,Honorable Omar Ismail Muhammad Khoshnaw,40
225,Stand Group ,7 ,,Party,Erbil,,Male,"     Hassan Ahmed Sirr Yif Moha-
                 mmed Amir N",41
225,Stand Group ,8 ,,Party,Erbil,,"   female
 ",Sondos Ali Abbas Ali,42
225,Stand Group ,9 ,,Party,Erbil,,Male,"Shah Omar, a great messenger",43
225,Stand Group , 10 ,,Party,Erbil,,Male,"Sa'adi's cavalry, Mushir Qadir Sheikh
Bazithani",44
225,Stand Group , 11 ,,Party,Erbil,,Male,Abdullah Hassan Ali Ahmed,45
225,Stand Group , 12 ,,Party,Erbil,,"   female
 ",Iman HadiNader Qader,46
232,Stand Group ,   1 ,,"  Pe-
rson",Erbil,,"   female
 ", Pinuscream Mohamed Rahim Baban,47
247,Prof. Dr. Raad Rifa Mohammed,   1 ,,"  Pe-
rson",Erbil,,Male,رعد رفعه محمد مولود کۆکۆني,48
