A,Name on ballot,"Candidate

Sequence",Unnamed: 3,"   Type
      Nominat-
            ion","Electoral
district",Unnamed: 6,Sex,Candidate's full name,Voter number
218 ,Badr Organization,32 ,,Party,Babylon,,"   female
 ",Rafaa Hamid Abboud Saleh Al-Harni,1943
218 ,Badr Organization,33 ,,Party,Babylon,,Male,زکیي مجي عبدالحسيرن علىي المنصوري,1944
218 ,Badr Organization,34 ,,Party,Babylon,,"   female
 ","The beds are on the bed of Abdul
Dakhil Al Dakhil",1945
223 ,Coming,1 ,,Party,Babylon,,Male,I feel sorry for Abdul Redha Habib Al-Ramaji,1946
223 ,Coming,2 ,,Party,Babylon,,Male,"Adel Nemah Najib Hamoud Al-
Khaikanani",1947
223 ,Coming,3 ,,Party,Babylon,,Male,Ahmed Hamid Obaid Rasn Y Al-Khafaji,1948
223 ,Coming,4 ,,Party,Babylon,,"   female
 ","Kifah Hassan Ali Muhammad Am-
ari",1949
223 ,Coming,5 ,,Party,Babylon,,Male,Regret N Faris Mansour Samawi Al-Khafaji,1950
223 ,Coming,6 ,,Party,Babylon,,Male,Abdullah Salman Obaid Jarallah Al-Khafaji,1951
223 ,Coming,7 ,,Party,Babylon,,Male,Raad Jassim Abdul Mahdi Hamza Al-Shathi,1952
223 ,Coming,8 ,,Party,Babylon,,"   female
 ",The Battle of Muhammad Hadi Alwan Al-Khafaji,1953
223 ,Coming,9 ,,Party,Babylon,,Male,Ali Hasirn Urgent Aliwi Al-Issawi,1954
223 ,Coming,10 ,,Party,Babylon,,Male,"Wael Mekikadhim Mohammed Ali Al-
loush",1955
223 ,Coming,11 ,,Party,Babylon,,Male,Maytham Rawdan Abbas Jumah Al-Musadi,1956
223 ,Coming,12 ,,Party,Babylon,,"   female
 ",داليا محمد هاشم فارس البوحيه,1957
223 ,Coming,13 ,,Party,Babylon,,Male,"Akram Jawad Ali Hasiran Has-
iran",1958
223 ,Coming,14 ,,Party,Babylon,,Male,Safaa Hakim Jabbar Jasoum Al Mansouri,1959
223 ,Coming,15 ,,Party,Babylon,,Male,"Arkan Abdulkadhim Abbas Aliwi
Al-Hamdani",1960
223 ,Coming,16 ,,Party,Babylon,,"   female
 ",Amal Attia Khadir Abbas Al-Qarah Ghali,1961
223 ,Coming,18 ,,Party,Babylon,,Male,Ammar Rahim Abis and the people of Al-Bujassim,1962
223 ,Coming,19 ,,Party,Babylon,,Male,Haitham Ghaleb Haseer N Sajit Al-Maamouri,1963
223 ,Coming,20 ,,Party,Babylon,,"   female
 ",زينب فاضل علىي موس الحسيرن,1964
223 ,Coming,21 ,,Party,Babylon,,"   female
 ",Wafaa Kamel Kazem Naher Al-Hasnawi,1965
223 ,Coming,22 ,,Party,Babylon,,Male,Ali Abdul Karim Khalil Ibrahim Al-Jubouri,1966
223 ,Coming,23 ,,Party,Babylon,,Male,"The head of the ignorant Hamid Khuair Al-
Jabouri",1967
223 ,Coming,24 ,,Party,Babylon,,Male,Hamid Hamza Mazhar Attia Al-Khafaji,1968
223 ,Coming,25 ,,Party,Babylon,,"   female
 ",Marwa Shaalan Jassim Suwaif Al Sultan,1969
223 ,Coming,26 ,,Party,Babylon,,Male,Amjad Hamza Abdullah Dahsh Al-Jabouri,1970
223 ,Coming,27 ,,Party,Babylon,,Male,"Khaled Dhaigham Tamrajasim
Al-Sultani",1971
223 ,Coming,28 ,,Party,Babylon,,Male,"Amir Basem Abdel-Alim Aboud
Al-Shar Yifn Y",1972
223 ,Coming,29 ,,Party,Babylon,,Male,Ali Karim Ali Hawi Al-Jabouri,1973
223 ,Coming,30 ,,Party,Babylon,,Male,"Hasir N       Hamoud Abdullah Ghafr
Al-Abadi",1974
223 ,Coming,31 ,,Party,Babylon,,"   female
 ",Ranya Mohsen Habib Mahdi Al-Hali,1975
223 ,Coming,32 ,,Party,Babylon,,Male,Dhiyab Sarhan Mushan JafjafAl-Aramy,1976
223 ,Coming,33 ,,Party,Babylon,,"   female
 ",Tweet Mehdi Majeed Jaafar Al-Muslimani,1977
223 ,Coming,34 ,,Party,Babylon,,Male,"Muhammad Hamza NajiNghamish Aja-
far",1978
224 ,"Good news, Iraq",1 ,,Alliance,Babylon,,Male,"MuhandNajm Obaid Nasser Al Ain
Ni",1979
224 ,"Good news, Iraq",2 ,,Alliance,Babylon,,Male,Tariq Salah Hassan Shammar Al-Khafaji,1980
224 ,"Good news, Iraq",3 ,,Alliance,Babylon,,Male,"Ali Mughair Nadif Faisal Al-Jahisi
Y",1981
224 ,"Good news, Iraq",4 ,,Alliance,Babylon,,"   female
 ",Nour Jabbar Karim Zahir Al-Zahir,1982
224 ,"Good news, Iraq",5 ,,Alliance,Babylon,,Male,Karar Hasirn Abis Jarad Al-Masoudi,1983
224 ,"Good news, Iraq",6 ,,Alliance,Babylon,,Male,Qasim Farhan Anad Hamza Al-Maraksi,1984
224 ,"Good news, Iraq",7 ,,Alliance,Babylon,,Male,ابراهيم حبيب خبط علىي العباسي,1985
224 ,"Good news, Iraq",8 ,,Alliance,Babylon,,"   female
 ","Suhaila Kazim Jassim Abbas Al-
Saadounni",1986
224 ,"Good news, Iraq",9 ,,Alliance,Babylon,,Male,"Fouad Rahim Hasirn Alie
and Toot",1987
224 ,"Good news, Iraq",10 ,,Alliance,Babylon,,Male,Falih Hassan Hadi Hamoud Al-Rubaie,1988
224 ,"Good news, Iraq",11 ,,Alliance,Babylon,,Male,"    Hazem Jawad Kazim Daw-
            ood Al-Faranari",1989
224 ,"Good news, Iraq",12 ,,Alliance,Babylon,,"   female
 ","Israa, the owner of the honey Hasir N
Al-Janani",1990
224 ,"Good news, Iraq",13 ,,Alliance,Babylon,,Male,Qasim Hamid Musa Abbas Al-Kriti,1991
224 ,"Good news, Iraq",14 ,,Alliance,Babylon,,Male,"I am saddened by the death of Kazem Al-
Maamouri",1992
224 ,"Good news, Iraq",15 ,,Alliance,Babylon,,Male,Karar Haydarsah Sultan Yasari,1993
224 ,"Good news, Iraq",16 ,,Alliance,Babylon,,"   female
 ","Waiting for Ahmed Bahar Obaid
Al-Sultani",1994
224 ,"Good news, Iraq",17 ,,Alliance,Babylon,,Male,I feel sorry for Jassim Abis Al-Karawi,1995
224 ,"Good news, Iraq",18 ,,Alliance,Babylon,,Male,"Green sticks, anklets, Sarwan and
Taifan",1996
224 ,"Good news, Iraq",19 ,,Alliance,Babylon,,Male,Qusay Hatem Aziz Alwan,1997
224 ,"Good news, Iraq",20 ,,Alliance,Babylon,,"   female
 ",Basheera Hassan Majeed Hassoun Al-Har,1998
224 ,"Good news, Iraq",21 ,,Alliance,Babylon,,Male,Hussam Mohammed Ibrahim Khadir Al-Mamouri,1999
224 ,"Good news, Iraq",22 ,,Alliance,Babylon,,Male,Haider Khadir Abbas Ali Azzawi,2000
224 ,"Good news, Iraq",23 ,,Alliance,Babylon,,Male,Abbas Jassim Habib Zaheratijawi,2001
224 ,"Good news, Iraq",24 ,,Alliance,Babylon,,"   female
 "," Flower of Hasir N       Ali Ab-
            bas Al-Himir Y",2002
224 ,"Good news, Iraq",25 ,,Alliance,Babylon,,Male,      Thamer Maksad Hamza Mughid Al-Maamouri,2003
224 ,"Good news, Iraq",26 ,,Alliance,Babylon,,Male,Ali Fadhel Abbas Mutab Al-Rubaie,2004
224 ,"Good news, Iraq",27 ,,Alliance,Babylon,,"   female
 ",       Hadeel Qusay Khudair Mohammed Al-Zubaidi,2005
224 ,"Good news, Iraq",28 ,,Alliance,Babylon,,"   female
 ",   Shaima Aziz Hamdan Ali Ajeel,2006
224 ,"Good news, Iraq",29 ,,Alliance,Babylon,,Male,Haider Abdul Muttalib Hassan Abbas Rawashdi,2007
224 ,"Good news, Iraq",30 ,,Alliance,Babylon,,Male,"Saif Arkan, the owner of the Al-Jabouri tribe",2008
224 ,"Good news, Iraq",31 ,,Alliance,Babylon,,Male,"Ali Khaled Karim Hasir Al-
Jabouri",2009
224 ,"Good news, Iraq",32 ,,Alliance,Babylon,,"   female
 ",Nias Fahd Haseer N Saber Majed,2010
224 ,"Good news, Iraq",33 ,,Alliance,Babylon,,Male,"Nimir Shaker Abdul Haseen Khadhn Al
Shabany",2011
224 ,"Good news, Iraq",34 ,,Alliance,Babylon,,Male,"Khaled Kamel Abdel-Hassan Hamza Al-
Maamouri",2012
231 ,National State Forces Alliance,1 ,,Alliance,Babylon,,Male,"Hassan Faddam Asal Hasirn Al
Janani",2013
231 ,National State Forces Alliance,2 ,,Alliance,Babylon,,Male,Riyadh Aday Aboud Tamim Al-Khafaji,2014
231 ,National State Forces Alliance,3 ,,Alliance,Babylon,,Male,    Asaad Munim Abdul-Kazem Mutak Al-Muslimawi,2015
231 ,National State Forces Alliance,4 ,,Alliance,Babylon,,Male,Hassan Mandeel Abdullah Hamza Al-Shiawi,2016
