A,Name on ballot,Candidate Sequence,Unnamed: 3,Type Nominat- ion,Electoral district,Unnamed: 6,Sex,Candidate's full name,Voter number,Sex_raw
218,Badr Organization,32,,Party,Babylon,,Female,Rafaa Hamid Abboud Saleh Al-Harni,1943,female
218,Badr Organization,33,,Party,Babylon,,Male,زکیي مجي عبدالحسيرن علىي المنصوري,1944,Male
218,Badr Organization,34,,Party,Babylon,,Female,The beds are on the bed of Abdul Dakhil Al Dakhil,1945,female
223,Coming,1,,Party,Babylon,,Male,I feel sorry for Abdul Redha Habib Al-Ramaji,1946,Male
223,Coming,2,,Party,Babylon,,Male,Adel Nemah Najib Hamoud Al- Khaikanani,1947,Male
223,Coming,3,,Party,Babylon,,Male,Ahmed Hamid Obaid Rasn Y Al-Khafaji,1948,Male
223,Coming,4,,Party,Babylon,,Female,Kifah Hassan Ali Muhammad Am- ari,1949,female
223,Coming,5,,Party,Babylon,,Male,Regret N Faris Mansour Samawi Al-Khafaji,1950,Male
223,Coming,6,,Party,Babylon,,Male,Abdullah Salman Obaid Jarallah Al-Khafaji,1951,Male
223,Coming,7,,Party,Babylon,,Male,Raad Jassim Abdul Mahdi Hamza Al-Shathi,1952,Male
223,Coming,8,,Party,Babylon,,Female,The Battle of Muhammad Hadi Alwan Al-Khafaji,1953,female
223,Coming,9,,Party,Babylon,,Male,Ali Hasirn Urgent Aliwi Al-Issawi,1954,Male
223,Coming,10,,Party,Babylon,,Male,Wael Mekikadhim Mohammed Ali Al- loush,1955,Male
223,Coming,11,,Party,Babylon,,Male,Maytham Rawdan Abbas Jumah Al-Musadi,1956,Male
223,Coming,12,,Party,Babylon,,Female,داليا محمد هاشم فارس البوحيه,1957,female
223,Coming,13,,Party,Babylon,,Male,Akram Jawad Ali Hasiran Has- iran,1958,Male
223,Coming,14,,Party,Babylon,,Male,Safaa Hakim Jabbar Jasoum Al Mansouri,1959,Male
223,Coming,15,,Party,Babylon,,Male,Arkan Abdulkadhim Abbas Aliwi Al-Hamdani,1960,Male
223,Coming,16,,Party,Babylon,,Female,Amal Attia Khadir Abbas Al-Qarah Ghali,1961,female
223,Coming,18,,Party,Babylon,,Male,Ammar Rahim Abis and the people of Al-Bujassim,1962,Male
223,Coming,19,,Party,Babylon,,Male,Haitham Ghaleb Haseer N Sajit Al-Maamouri,1963,Male
223,Coming,20,,Party,Babylon,,Female,زينب فاضل علىي موس الحسيرن,1964,female
223,Coming,21,,Party,Babylon,,Female,Wafaa Kamel Kazem Naher Al-Hasnawi,1965,female
223,Coming,22,,Party,Babylon,,Male,Ali Abdul Karim Khalil Ibrahim Al-Jubouri,1966,Male
223,Coming,23,,Party,Babylon,,Male,The head of the ignorant Hamid Khuair Al- Jabouri,1967,Male
223,Coming,24,,Party,Babylon,,Male,Hamid Hamza Mazhar Attia Al-Khafaji,1968,Male
223,Coming,25,,Party,Babylon,,Female,Marwa Shaalan Jassim Suwaif Al Sultan,1969,female
223,Coming,26,,Party,Babylon,,Male,Amjad Hamza Abdullah Dahsh Al-Jabouri,1970,Male
223,Coming,27,,Party,Babylon,,Male,Khaled Dhaigham Tamrajasim Al-Sultani,1971,Male
223,Coming,28,,Party,Babylon,,Male,Amir Basem Abdel-Alim Aboud Al-Shar Yifn Y,1972,Male
223,Coming,29,,Party,Babylon,,Male,Ali Karim Ali Hawi Al-Jabouri,1973,Male
223,Coming,30,,Party,Babylon,,Male,Hasir N Hamoud Abdullah Ghafr Al-Abadi,1974,Male
223,Coming,31,,Party,Babylon,,Female,Ranya Mohsen Habib Mahdi Al-Hali,1975,female
223,Coming,32,,Party,Babylon,,Male,Dhiyab Sarhan Mushan JafjafAl-Aramy,1976,Male
223,Coming,33,,Party,Babylon,,Female,Tweet Mehdi Majeed Jaafar Al-Muslimani,1977,female
223,Coming,34,,Party,Babylon,,Male,Muhammad Hamza NajiNghamish Aja- far,1978,Male
224,"Good news, Iraq",1,,Alliance,Babylon,,Male,MuhandNajm Obaid Nasser Al Ain Ni,1979,Male
224,"Good news, Iraq",2,,Alliance,Babylon,,Male,Tariq Salah Hassan Shammar Al-Khafaji,1980,Male
224,"Good news, Iraq",3,,Alliance,Babylon,,Male,Ali Mughair Nadif Faisal Al-Jahisi Y,1981,Male
224,"Good news, Iraq",4,,Alliance,Babylon,,Female,Nour Jabbar Karim Zahir Al-Zahir,1982,female
224,"Good news, Iraq",5,,Alliance,Babylon,,Male,Karar Hasirn Abis Jarad Al-Masoudi,1983,Male
224,"Good news, Iraq",6,,Alliance,Babylon,,Male,Qasim Farhan Anad Hamza Al-Maraksi,1984,Male
224,"Good news, Iraq",7,,Alliance,Babylon,,Male,ابراهيم حبيب خبط علىي العباسي,1985,Male
224,"Good news, Iraq",8,,Alliance,Babylon,,Female,Suhaila Kazim Jassim Abbas Al- Saadounni,1986,female
224,"Good news, Iraq",9,,Alliance,Babylon,,Male,Fouad Rahim Hasirn Alie and Toot,1987,Male
224,"Good news, Iraq",10,,Alliance,Babylon,,Male,Falih Hassan Hadi Hamoud Al-Rubaie,1988,Male
224,"Good news, Iraq",11,,Alliance,Babylon,,Male,Hazem Jawad Kazim Daw- ood Al-Faranari,1989,Male
224,"Good news, Iraq",12,,Alliance,Babylon,,Female,"Israa, the owner of the honey Hasir N Al-Janani",1990,female
224,"Good news, Iraq",13,,Alliance,Babylon,,Male,Qasim Hamid Musa Abbas Al-Kriti,1991,Male
224,"Good news, Iraq",14,,Alliance,Babylon,,Male,I am saddened by the death of Kazem Al- Maamouri,1992,Male
224,"Good news, Iraq",15,,Alliance,Babylon,,Male,Karar Haydarsah Sultan Yasari,1993,Male
224,"Good news, Iraq",16,,Alliance,Babylon,,Female,Waiting for Ahmed Bahar Obaid Al-Sultani,1994,female
224,"Good news, Iraq",17,,Alliance,Babylon,,Male,I feel sorry for Jassim Abis Al-Karawi,1995,Male
224,"Good news, Iraq",18,,Alliance,Babylon,,Male,"Green sticks, anklets, Sarwan and Taifan",1996,Male
