"ElectionNumber","Name_English","Name_Original","City"
"1","????????? ??????? ??????????","Share Komohammed Ismail Babiker Hasir
N",""
"10","??????v ??? ?????? ???? ??????","Rawya Yasser N Saeed Jawamir Khosh-naw","?????"
"100","????? ???? ????????","Hozan Ahmed Omar Mahmoud","?????"
"1000","????? ????? ???? ????","I feel sorry for you","??????????"
"1001","???? ??? ????????","Friday Hassan Farskarim","??????????"
"1002","???????????? ?????? ???","DiarMohammadRafeeq Amroth ???","??????????"
"1003","??????? ??? ???? ???? ????","Abdullah Hama Saeed Ahmed Aref","??????????"
"1004","???? ???? ???? ???? ???? ????????","By the name of Jihad Muhammad Ali
Ghassan al-Bayanri","??????????"
"1005","?????? ???? ???? ???? ??????","Ardalan Tariq Rashid Wali Al-Qassab","??????????"
"1006","???? ??????????? ????","Mohammad Sardar Khurshid Shawkat","??????????"
"1007","??????? ???? ????? ??????? ?? ??","Abdullah Jawdat Hasir Ibrahim Deh Deh","??????????"
"1008","?????????? ???? ???????","Hawar Mustafa Abbas Abdu-
llah","??????????"
"1009","????? ??? ????? ???? ???? ?????","Ashwaq Najmuddin Abbas Muhammad al-Jaf","??????????"
"101","???? ?????????????","Lafe Shaho Hyder Mahmoud","?????"
"1010","?????? ????????? ??????? ?????","Arian Abdulrahman Ismail Beer and","??????????"
"1011","??????? ???? ???? ????? ??? ?????","???? ???? ??????? Asoy Sheikh Hassan","??????????"
"1012","??????? ???? ????????????","Akuali Ahmed Aziz Jamalali","??????????"
"1013","?? ???????? ???? ??????","To Naz Osman Ahmed Suleiman","??????????"
"1014","????????????? ???????? ??? ???? ????","Abu Bakr Abdullah Muhammad Gharib Shah Muhammad Gha-
rib","??????????"
"1015","???? ???? ????? ????? ???????","Ahmed Mohammed Amir N Mus-
tafa Surdaser","??????????"
"1016","????????????? ???? ?????","Amir Mustafa Karim Fattah Al-
Jaf","??????????"
"1017","????? ??????? ??????? ??????","Tafaka Omar Rashid Abdullah Ouziri","??????????"
"1018","???????? ??? ???? ?????","Anwar Saeed Fathallah Mu-
stafa","??????????"
"1019","??????????? ???? ???? ???????","Bakhtiar Hijran Muhammad Majeed Al-Dawudi","??????????"
"102","????? ???? ??? ????? ???","Roshana Rafiq Hamma Amirin Has-
san","?????"
"1020","???? ???? ???? ???? ???","Bahman Ahmad Mohammad Abbas Agha","??????????"
"1021","?? ??? ???? ????? ????","The birthday of Mohammad Hasir Na
Majeed","??????????"
"1022","??? ????? ???????????????","Hassan Mahmoud Aziz Qader Qamisir","??????????"
"1023","???? ??? ????? ???????? ?????","Khalid Hama Azdin Azizmala Khalid","??????????"
"1024","???????? ???? ??? ???? ????????","Razkar Rahim Fathullah Penjweth","??????????"
"1025","???? ???? ????? ???? ?????","Zian Jalal Mahmoud Rasool Al-Safra","??????????"
"1026","????????? ????? ????????? ????","Sardar Ake Amiren Aziz Mustafa
Ako","??????????"
"1027","?????? ???? ????????? ???? ???","Sardasht Muhammad Abdul Karim Muhammad Jaf","??????????"
"1028","???????? ????? ???","Samir Gharib Mustafa Kh-
adhan","??????????"
"1029","??? ??? ????? ????? ???? ?????","Shanna Najmuddin Mustafa Ahmed Shaban","??????????"
"103","?????? ????? ????? ???","Hendren Farouk Hassrin Has-
san","?????"
"1030","?????? ???????? ???? ????","Sir Wan Hamsrir Yif Ahmed Fat-
tah","??????????"
"1031","???? ???? ????? ??????? ?????????","Shawan Mohammad Rostam Abdullah Shawanklari","??????????"
"1032","??????? ????? ???? ????","Abdullah Hasiran Ahmed Ra-
sool","??????????"
"1033","????? ???? ??????? ???? ???????","Shilan Mohammed Ibrahim Ali Zangana","??????????"
"1034","???? ???? ???? ????","Ali Fouad Rashid Aziz","??????????"
"1035","????? ???????? ????? ???????? ?????","Farooq Muhammad Saeed Darwish Qadir Hakim Farooq","??????????"
"1036","?????? ???? ???????","Fereydoun Abbas Bayez Samad","??????????"
"1037","???? ???? ????????? ?????","Mina Sami Mohamed Amir
N Marouf","??????????"
"1038","???? ??????? ????????","Mohammad Faraj Saber Saleh's Cave","??????????"
"1039",".???? ??? ??? ???? ??????","Mohammad Hassan Reza Mohammad Barzanji","??????????"
"104","????? ???? ????? ?????","Ehsan Muhammad Baram Osman","?????"
"1040",".????? ???? ????? ???? ??????","Mustafa Khalid Abdul Ahmed Barzanj","??????????"
"1041","??????? ????? ??????? ????"," Nazakat Hasir Nahama Said Muha-
                        mmad","??????????"
"1042","????? ????? ???? ???? ? ????????????","Mustafa Osman Ahmed Rashid M Barzang-
alala","??????????"
"1043","?????? ??? ???? ???? ????","Mariwan Hamma Ali Rauf Saleh","??????????"
"1044","??????? ????????? ????","Nijrawan Jabbar Mahmoud Mohammed","??????????"
"1045","???? ????? ???? ?????","Muththan Amir N Na-
der Hasir N","??????????"
"1046","??????? ???????? ????","Omar Mohammed Mohammed
Karim Ali","??????????"
"1047","???? ??? ???? ???","Dara Hama Ahmed Hassan","??????????"
"1048","????? ???? ???? ????","Qadriya Saeed Ali Ahmed","??????????"
"1049","????????? ????????? ????","And the Messenger of God, Muhammad,
Amir al-Said","??????????"
"105","?????????????? ???????? ??????","Akobakrikorakob Harition Matlayi","?????"
"1050","????????? ????? ???????","Share this with Mustafa Abdu-
llah","??????????"
"1051","??????? ???? ????? ????","     Ismail Ahmed Haseer N Moh-
                       ammed","??????????"
"1052","???????? ???????? ?????"," Shaler Mohammed Mohammed
              Karim Mustafa","??????????"
"1053","???? ???? ???????? ???????","Mohammad Hakim JabbarSaeed Aldawoodi","??????????"
"1054","???? ??? ???? ???? ????","Ahmed Hama Rashid Ahmed Mohammed","??????????"
"1055","????? ???? ???? ????","Najiba Latif Ahmed Qadir","??????????"
"1056","???? ??? ???? ???? ???????","Saleh Hama Rashid Ahmed Abdullah","??????????"
"1057","??? ???? ???? ???????","Hoda Mohammed Siddiq Ismail","??????????"
"1058","???? ????????? ???? ???????","Sarveh Abdulwahid Qadir Ibrahim","??????????"
"1059","???????????? ???? ???? ????","Rebwar and Rahman and Saleh Arif","??????????"
"106","??? ????? ???????? ????????","Heba Gerges Abdel Ahad Khoshouqos","?????"
"1060","???? ????? ????????","Good luck, Hasiran Qaderk-
arim.","??????????"
"1061","???? ????? ???? ???????","Mazda Mahmoud Muhammad Abdullah","??????????"
"1062","?????? ???????? ???? ???????","Aryan Aziz Ahmad Yousuf Tavgozi","??????????"
"1063","?????? ??????????","Wise advisor Omar Ali","??????????"
"1064","?????????? ??? ????","I am the best messenger","??????????"
"1065","?? ??? ??????? ???? ????","Hello Abdullah Ahmed Aref","??????????"
"1066","?????? ???? ???? ???","Rizwan Khalil Hamid Faraj","??????????"
"1067","?? ???? ????????????? ????","The secret of Abdul Rahman Karim Mina","??????????"
"1068","???? ? ??????? ??????","By Abdullah Omar Hamad","??????????"
"1069","??????? ???? ???? ??? ???? ???????","Hair, I came out, Majeed came and ran
to Mohammed, and he showed me","??????????"
"107","???????? ?????????????","Chaldormuzi Hormizdabwaghna","?????"
"1070","???? ???? ???? ???? ?????????","Jamal Farid Raeh Attia Al-Hamidawi","????????"
"1071","??? ???????????? ???????","Saad Shaker Aziz Kazem Khaza-
ali","????????"
"1072","????????????? ???? ???????","Ammar Jabbar Rasan Y Mo-
hammed Al-Shabli","????????"
"1073","???? ???????? ???? ???????","???? ???? ????  ????  ???????","????????"
"1074","???? ???? ???? ????? ???????","Ali Manea Attia Salman Al-Badri","????????"
"1075","????? ???? ???? ??? ??????","Iman Hamid Jaber Abdel-Akra'","????????"
